      Date,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
 2021/04/20,1245,372,13,0,0,0,6,7,7,6,7,7
 2021/04/20,552,166,17,0,0,0,2,3,3,2,3,3
 2021/04/20,414,131,6,0,0,0,1,1,1,1,1,1
 2021/04/20,444,145,6,0,0,0,3,3,3,3,3,3
 2021/04/20,522,170,19,0,0,0,2,2,2,2,2,2
 2021/04/20,435,130,19,0,0,0,1,1,1,1,1,1
 2021/04/20,381,115,16,3,0,0,0,1,2,0,1,2
 2021/04/20,393,123,10,0,0,0,1,1,1,1,1,1
 2021/04/20,393,123,10,0,0,0,1,1,1,1,1,1
 2021/04/20,333,104,0,0,0,0,1,1,1,1,1,1
 2021/04/20,276,82,0,0,0,0,0,0,0,0,0,0
 2021/04/20,387,119,3,0,0,0,0,1,1,0,1,1
 2021/04/20,426,135,0,0,0,0,1,1,1,1,1,1
 2021/04/20,411,133,0,0,0,0,1,1,1,1,1,1
 2021/04/20,399,121,3,0,0,0,1,1,1,1,1,1
 2021/04/20,420,128,7,0,0,0,1,1,1,1,1,1
 2021/04/20,627,203,13,3,0,0,3,3,4,3,3,4
 2021/04/20,603,192,10,3,0,0,2,2,4,2,2,4
 2021/04/20,441,134,0,0,0,0,1,1,1,1,1,1
 2021/04/20,501,160,3,0,0,0,2,2,2,2,2,2
 2021/04/20,618,203,16,0,0,0,3,3,3,3,3,3
 2021/04/20,444,144,3,0,0,0,2,2,2,2,2,2
 2021/04/20,513,163,14,3,3,0,2,2,4,2,2,4
 2021/04/20,564,174,24,3,3,0,2,3,5,2,3,5
 2021/04/20,270,90,0,0,0,0,0,0,0,0,0,0
 2021/04/20,408,128,0,0,0,0,2,2,2,2,2,2
 2021/04/20,402,126,3,0,0,0,2,2,2,2,2,2
 2021/04/20,537,155,6,0,0,0,2,2,2,2,2,2
 2021/04/20,609,187,3,0,0,0,2,2,2,2,2,2
 2021/04/20,450,135,7,0,0,0,1,1,1,1,1,1
 2021/04/20,420,130,3,0,0,0,1,1,1,1,1,1
 2021/04/20,462,138,3,0,0,0,1,1,1,1,1,1
 2021/04/20,438,132,0,0,0,0,1,1,1,1,1,1
 2021/04/20,429,132,3,0,0,0,1,1,1,1,1,1
 2021/04/20,495,154,3,0,0,0,2,2,2,2,2,2
 2021/04/20,405,124,10,0,0,0,1,1,1,1,1,1
 2021/04/20,387,114,6,0,0,0,1,1,1,1,1,1
 2021/04/20,489,155,3,0,0,0,1,1,1,1,1,1
 2021/04/20,531,174,6,0,0,0,2,2,2,2,2,2
 2021/04/20,420,134,10,0,0,0,1,1,1,1,1,1
 2021/04/20,378,126,10,3,0,0,0,1,2,0,1,2
 2021/04/20,348,116,10,3,0,0,0,1,2,0,1,2
 2021/04/20,333,111,10,0,0,0,0,1,1,0,1,1
 2021/04/20,441,140,7,0,0,0,1,1,1,1,1,1
 2021/04/20,399,123,10,0,0,0,1,1,1,1,1,1
 2021/04/20,402,131,10,0,0,0,1,1,1,1,1,1
 2021/04/20,540,177,10,0,0,0,3,3,3,3,3,3
 2021/04/20,384,128,0,0,0,0,0,0,0,0,0,0
 2021/04/20,432,144,3,0,0,0,1,1,1,1,1,1
 2021/04/20,426,138,3,0,0,0,1,1,1,1,1,1
 2021/04/20,447,145,3,0,0,0,1,1,1,1,1,1
 2021/04/20,507,158,3,0,0,0,2,2,2,2,2,2
 2021/04/20,450,143,6,3,0,0,1,1,2,1,1,2
 2021/04/20,369,123,9,3,0,0,1,1,2,1,1,2
 2021/04/20,501,163,13,0,0,0,2,2,2,2,2,2
 2021/04/20,585,191,20,0,0,0,2,3,3,2,3,3
 2021/04/20,417,127,38,14,7,0,1,3,8,1,3,8
 2021/04/20,474,152,40,3,0,0,1,4,4,1,4,4
 2021/04/20,450,147,34,3,3,0,1,2,5,1,2,5
 2021/04/20,417,128,13,6,6,0,0,1,5,0,1,5
 2021/04/20,588,188,12,3,3,0,2,2,4,2,2,4
 2021/04/20,516,172,9,0,0,0,2,2,2,2,2,2
 2021/04/20,357,115,6,3,3,0,2,2,4,2,2,4
 2021/04/20,333,103,13,3,3,0,1,1,3,1,1,3
 2021/04/20,324,101,3,0,0,0,0,0,0,0,0,0
 2021/04/20,414,135,7,0,0,0,1,1,1,1,1,1
 2021/04/20,486,159,0,0,0,0,2,2,2,2,2,2
 2021/04/20,366,112,0,0,0,0,0,0,0,0,0,0
 2021/04/20,390,119,0,0,0,0,0,0,0,0,0,0
 2021/04/20,381,127,3,0,0,0,1,1,1,1,1,1
 2021/04/20,531,170,6,0,0,0,2,2,2,2,2,2
 2021/04/20,429,125,12,0,0,0,1,1,1,1,1,1
 2021/04/20,399,118,6,0,0,0,1,1,1,1,1,1
 2021/04/20,453,147,3,0,0,0,1,1,1,1,1,1
 2021/04/20,522,170,0,0,0,0,2,2,2,2,2,2
 2021/04/20,486,155,27,0,0,0,1,3,3,1,3,3
 2021/04/20,594,187,13,3,3,0,2,3,5,2,3,5
 2021/04/20,501,163,26,6,3,0,2,2,5,2,2,5
 2021/04/20,519,169,13,3,0,0,2,2,3,2,2,3
 2021/04/20,372,116,10,0,0,0,1,1,1,1,1,1
 2021/04/20,237,79,3,3,3,0,0,0,2,0,0,2
 2021/04/20,375,117,6,3,3,0,0,1,3,0,1,3
 2021/04/20,441,139,3,0,0,0,1,1,1,1,1,1
 2021/04/20,594,190,7,0,0,0,2,2,2,2,2,2
 2021/04/20,516,172,13,0,0,0,2,2,2,2,2,2
 2021/04/20,441,140,9,0,0,0,1,1,1,1,1,1
 2021/04/20,408,136,6,0,0,0,1,1,1,1,1,1
 2021/04/20,429,143,6,3,3,0,1,1,3,1,1,3
 2021/04/20,315,94,0,0,0,0,0,0,0,0,0,0
 2021/04/20,303,94,3,0,0,0,0,0,0,0,0,0
 2021/04/20,390,127,0,0,0,0,2,2,2,2,2,2
 2021/04/20,393,127,0,0,0,0,2,2,2,2,2,2
 2021/04/20,423,137,0,0,0,0,2,2,2,2,2,2
 2021/04/20,378,115,3,0,0,0,2,2,2,2,2,2
 2021/04/20,453,140,3,0,0,0,1,1,1,1,1,1
 2021/04/20,429,132,6,0,0,0,1,1,1,1,1,1
 2021/04/20,366,119,3,0,0,0,2,2,2,2,2,2
 2021/04/20,369,120,3,0,0,0,2,2,2,2,2,2
 2021/04/20,486,149,10,0,0,0,3,3,3,3,3,3
 2021/04/20,387,118,10,3,0,0,2,2,3,2,2,3
 2021/04/20,420,129,0,0,0,0,1,1,1,1,1,1
 2021/04/20,639,203,7,0,0,0,2,2,2,2,2,2
