      Date,      Time,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
12/22/2020,  13:41:20,21,7,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:41:40,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,   13:42:00,21,7,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:42:20,21,7,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:42:40,72,13,3,0,0,0,0,0,0,0,0,0
12/22/2020,   13:43:00,54,10,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:43:20,111,17,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:43:40,423,71,0,0,0,0,0,0,0,0,0,0
12/22/2020,   13:44:00,18,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:44:20,9,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:44:40,66,9,0,0,0,0,0,0,0,0,0,0
12/22/2020,   13:45:00,27,3,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:45:20,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:45:40,9,3,0,0,0,0,0,0,0,0,0,0
12/22/2020,   13:46:00,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:46:20,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:46:40,33,11,0,0,0,0,0,0,0,0,0,0
12/22/2020,   13:47:00,9,3,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:47:20,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:47:40,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,   13:48:00,33,11,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:48:20,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:48:40,9,3,0,0,0,0,0,0,0,0,0,0
12/22/2020,   13:49:00,78,22,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:49:20,21,3,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:49:40,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,   13:50:00,9,3,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:50:20,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:50:40,21,7,0,0,0,0,0,0,0,0,0,0
12/22/2020,   13:51:00,9,3,0,0,0,0,0,0,0,0,0,0
12/22/2020,  13:51:20,0,0,0,0,0,0,0,0,0,0,0,0
